country,rank,score,landAreaKm,latitude_x,longitude_x,2020 [YR2020],2013 [YR2013],latitude_y,longitude_y
United Kingdom,1,100.0,241930.0,55.378051,-3.435973,1848453604000,1817932533000,55.378051,-3.435973
Netherlands,2,100.0,33670.0,52.132633,5.291266,727884821000,667251702000,52.132633,5.291266
Switzerland,3,100.0,39516.0,46.818188,8.227512,701924098000,642109121000,46.818188,8.227512
Finland,4,100.0,303940.0,61.92411,25.748151,224537000000,211012000000,61.92411,25.748151
Norway,5,100.0,364285.0,60.472024,8.468946,3254318000000,2992215000000,60.472024,8.468946
Iceland,6,100.0,100830.0,64.963051,-19.020835,2561413669000,2175965459000,64.963051,-19.020835
Malta,7,99.8,320.0,35.937496,14.375416,11818100000,8473600000,35.937496,14.375416
Germany,8,99.1,349390.0,51.165691,10.451526,3121807290000,2917237520000,51.165691,10.451526
Luxembourg,9,98.7,2574.5,49.815273,6.129583,59165083000,51587481000,49.815273,6.129583
Sweden,10,98.6,407283.5,60.128161,18.643501,4537008000000,3971859000000,60.128161,18.643501
Italy,11,98.3,295717.0,41.87194,12.56738,1572543300000,1642645500000,41.87194,12.56738
Greece,12,98.2,128900.0,39.074208,21.824312,167237650000,175878732000,39.074208,21.824312
Denmark,13,97.5,40000.0,56.26392,9.501785,2193085212000,1958036321000,56.26392,9.501785
Ireland,14,97.4,68890.0,53.41291,-8.24389,355306182000,194612911000,53.41291,-8.24389
Spain,15,96.9,499556.6,40.463667,-3.74922,1058103000000,1023947000000,40.463667,-3.74922
France,16,96.3,547557.0,46.227638,2.213749,2174922414000,2153641915000,46.227638,2.213749
Japan,17,95.1,364500.0,36.204824,138.252924,528130899906000,528200093617000,36.204824,138.252924
Austria,18,94.7,82520.0,47.516231,14.550072,349242060000,338572800000,47.516231,14.550072
Cyprus,19,94.0,9240.0,35.126413,33.429859,21509967000,17625568000,35.126413,33.429859
Belgium,20,93.6,30280.0,50.503887,4.469936,422356800000,402018800000,50.503887,4.469936
Singapore,21,93.3,718.0,1.352083,103.819836,461056900000,395633100000,1.352083,103.819836
Israel,22,92.9,21640.0,31.046051,34.851612,1367398107000,1107318701000,31.046051,34.851612
Canada,24,88.1,8965590.0,56.130366,-106.346771,2055524078000,1922238451000,56.130366,-106.346771
Australia,25,87.1,7692020.0,-25.274398,133.775136,2034914000000,1759081000000,-25.274398,133.775136
United States,26,86.1,9147420.0,37.09024,-95.712891,19377380521000,17329814706000,37.09024,-95.712891
Portugal,28,83.5,91605.6,39.399872,-8.224454,183778988000,175161700000,39.399872,-8.224454
New Zealand,29,80.4,263310.0,-40.900557,174.885971,286247835000,237078722000,-40.900557,174.885971
Slovenia,31,74.7,20136.4,46.151241,14.995463,43447775000,36988629000,46.151241,14.995463
Poland,34,71.8,306130.0,51.919438,19.145136,2110763000000,1659283000000,51.919438,19.145136
Uruguay,35,70.8,175020.0,-32.522779,-55.765835,1660777576700,1638383527600,-32.522779,-55.765835
Croatia,36,70.3,55960.0,45.1,15.2,358671588667.269,337552088846.062,45.1,15.2
Bulgaria,37,68.4,108560.0,42.733883,25.48583,97342435000,85800452000,42.733883,25.48583
Chile,38,68.1,743532.0,-35.675147,-71.542969,179482434842800,169863885538900,-35.675147,-71.542969
Kuwait,39,67.5,17820.0,29.31166,47.481766,36006020900.7473,39111400000,29.31166,47.481766
United Arab Emirates,40,67.2,71020.0,23.424076,53.847818,1442522884075.07,1252617111281.58,23.424076,53.847818
Qatar,41,66.6,11490.0,25.354826,51.183884,648027449368.838,588469708000,25.354826,51.183884
Costa Rica,42,66.2,51060.0,9.748917,-83.753428,34631889264400,29483176173800,9.748917,-83.753428
Serbia,43,65.6,87460.0,44.016521,21.005859,4918674200000,4306930200000,44.016521,21.005859
