Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,1147513804100,1178778315300,1195886097800,1222916881100,1255287530100,1270215762500,1319901565700,1288869351100,1021594636900,..
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,1302133136500,1325238823000,1354642246300,1399548375100,1452762386900,1511154132600,1542707988600,1488996598700,1615792120787.44,..
Algeria,DZA,GDP (constant LCU),NY.GDP.MKTP.KN,16663466744000,17296678480300,17936655584000,18510628562700,18751266734000,18976281934900,19166044754200,18188576471700,18825176648300,..
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,624000000,635000000,655000000,644000000,599000000,615000000,612000000,643000000,631000000,..
Andorra,AND,GDP (constant LCU),NY.GDP.MKTP.KN,2384940000,2444670000,2479730000,2571720000,2580620000,2621620000,2674460000,2375350000,2587930000,..
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,1541424093800,1615720735100,1630908510000,1588831070500,1586447823900,1565565219200,1554606262700,1467548311982.28,1483691343414.08,..
Antigua and Barbuda,ATG,GDP (constant LCU),NY.GDP.MKTP.KN,2792350000,2898340000,3009210000,3174610000,3274430000,3499830000,3670000000,2928940000,3083320000,..
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,720407105300,702306046000,721487146600,706477848600,726389947800,707377443000,693223803600,624294930800,689210675100,..
Armenia,ARM,GDP (constant LCU),NY.GDP.MKTP.KN,4407253696500,4565914829600,4712024104100,4721448152300,5075556763800,5339485715500,5745286629800,5331625992454.4,5635528674024.3,..
Aruba,ABW,GDP (constant LCU),NY.GDP.MKTP.KN,4883000000,4882000000,5055000000,5162000000,5445000000,5731290241.37938,5767685611.86254,4695524778.6816,5501864171.03064,..
Australia,AUS,GDP (constant LCU),NY.GDP.MKTP.KN,1759081000000,1804448000000,1843293000000,1893625000000,1936841000000,1992681000000,2035950000000,2034914000000,2080419000000,..
Austria,AUT,GDP (constant LCU),NY.GDP.MKTP.KN,338572800000,340811690000,344269230000,351118250000,359048510000,367756820000,373337120000,349242060000,365156500000,..
Azerbaijan,AZE,GDP (constant LCU),NY.GDP.MKTP.KN,28970955300,29767803400,30093456000,29160558900,29218880000,29657163200,30398592300,29091452800,30720585000,..
"Bahamas, The",BHS,GDP (constant LCU),NY.GDP.MKTP.KN,10413560000,10605930000,10711650000,10619780000,10943700000,11144080000,11355390000,8650240000,9837030000,..
Bahrain,BHR,GDP (constant LCU),NY.GDP.MKTP.KN,10781560000,11250600000,11530220000,11940480000,12452840000,12715735700,12991281200,12350050400,12624882400,..
Bangladesh,BGD,GDP (constant LCU),NY.GDP.MKTP.KN,17148479769800,18187859307800,19379644229900,20758211000000,22126229000000,23745739000000,25617358000000,26500650000000,28339444000000,..
Barbados,BRB,GDP (constant LCU),NY.GDP.MKTP.KN,8828947100,8821242700,9039358500,9268327700,9310618200,9214985200,9202900000,7977900000,7962800000,..
Belarus,BLR,GDP (constant LCU),NY.GDP.MKTP.KN,79211770000,80579270000,77493430000,75535600000,77448300000,79887300000,81005722200,80439000000,82289000000,..
Belgium,BEL,GDP (constant LCU),NY.GDP.MKTP.KN,402018800000,408364800000,416701400000,421979700000,428814000000,436502400000,446283800000,422356800000,448263600000,..
Belize,BLZ,GDP (constant LCU),NY.GDP.MKTP.KN,4108000000,4276000000,4420000000,4425000000,4350000000,4398000000,4596000000,3980000000,4586000000,..
Benin,BEN,GDP (constant LCU),NY.GDP.MKTP.KN,6219754000000,6615186000000,6732814000000,6957668000000,7352276000000,7844677000000,8383267995300,8705900000000,9328870657100,..
Bermuda,BMU,GDP (constant LCU),NY.GDP.MKTP.KN,6465756000,6226454000,6274742000,6233504000,6458622000,6430669000,6450364000,6009291000,6334606000,..
Bhutan,BTN,GDP (constant LCU),NY.GDP.MKTP.KN,51719756500,54707346000,58341134900,63082538500,66017033900,68033940000,71949408900,64747489449.7202,67394120000,..
Bolivia,BOL,GDP (constant LCU),NY.GDP.MKTP.KN,38486569900,40588155800,42559598548.9671,44374306139.8591,46235899827.0935,48188730162.8003,49256932528.4248,44952918688.3619,47697655896.9908,..
Bosnia and Herzegovina,BIH,GDP (constant LCU),NY.GDP.MKTP.KN,27416016000,27732356000,28589053600,29489553700,30424795700,31562705300,32456245900,31443841300,33816465000,..
Botswana,BWA,GDP (constant LCU),NY.GDP.MKTP.KN,152503845500,161191935500,153372527900,164418139800,171180750200,178352939600,183761668600,167725874500,186796343100,..
Brazil,BRA,GDP (constant LCU),NY.GDP.MKTP.KN,4241643857400,4263019865100,4111863267300,3977162043300,4029774689200,4101652440900,4151724504300,3990692548500,4175039462900,..
British Virgin Islands,VGB,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP (constant LCU),NY.GDP.MKTP.KN,19151000000,18670625400,18597364900,18136537500,18377500000,18387100000,19098517100,19315012800,19007756823.4471,..
Bulgaria,BGR,GDP (constant LCU),NY.GDP.MKTP.KN,85800452000,86630030000,89599755000,92323431000,94873562000,97420690000,101354676000,97342435000,104774150000,..
Burkina Faso,BFA,GDP (constant LCU),NY.GDP.MKTP.KN,6452183014400,6731359012200,6995311000000,7412090000000,7871898218300,8391803173100,8869138600700,9040341790600,9664698683100,..
Burundi,BDI,GDP (constant LCU),NY.GDP.MKTP.KN,1719098749500,1791999714300,1722111724000,1711779038000,1720337954800,1748034284900,1779718548186.91,1785541020062.4,1817596837995.58,..
Cabo Verde,CPV,GDP (constant LCU),NY.GDP.MKTP.KN,138054288900,138898094200,140296608700,146898674600,152336921100,159239553300,168264857000,143389581700,153358668800,..
Cambodia,KHM,GDP (constant LCU),NY.GDP.MKTP.KN,37503328695200,40182030612400,42981029622600,45961039355200,49176889018100,52849994069600,56578089165000,54826427716400,56485688892800,..
Cameroon,CMR,GDP (constant LCU),NY.GDP.MKTP.KN,17159555130700,18141050478500,19169095281200,20038566000000,20748167000000,21568863700300,22318394650600,22376407504600,23193127780700,..
Canada,CAN,GDP (constant LCU),NY.GDP.MKTP.KN,1922238451000,1977407388000,1990442000000,2010374175000,2071487142000,2129013180000,2169029942000,2055524078000,2148863110000,..
Cayman Islands,CYM,GDP (constant LCU),NY.GDP.MKTP.KN,3716702200,3815363100,3923457000,4050576000,4179548200,4357900700,4526685500,4269389800,4347914823.36156,..
Central African Republic,CAF,GDP (constant LCU),NY.GDP.MKTP.KN,624148000000,624654000000,651746000000,682706000000,713614000000,740656000000,763616336000,770488883000,777423283000,..
Chad,TCD,GDP (constant LCU),NY.GDP.MKTP.KN,5118799500000,5471995900000,5623443000000,5271667000000,5114112900000,5235523873400,5405530857900,5319042000000,5255214000000,..
Channel Islands,CHI,GDP (constant LCU),NY.GDP.MKTP.KN,..,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP (constant LCU),NY.GDP.MKTP.KN,169863885538900,172908949585100,176629850757200,179726240483300,182166375335300,189434867409900,190894538049000,179482434842800,200424848640200,..
China,CHN,GDP (constant LCU),NY.GDP.MKTP.KN,59905942070133.9,64354415744357.6,68885821804930,73603647933267.3,78717041146389.9,84030263391440.1,89030484847862.5,91024502270227.6,98406400602024.8,..
Colombia,COL,GDP (constant LCU),NY.GDP.MKTP.KN,747939000000000,781589000000000,804692000000000,821489000000000,832656000000000,854008000000000,881224000000000,819114000000000,906570908869540,..
